"","gene_id","S00CWT11","S00D1D11","S00D2B11","S00D3911","S00D4711","S00D5511","S00XUN11"
"55026","ENSG00000273975.1",0,0,0,0,0,0,0
"55027","ENSG00000273976.1",0,0,0,0,0,0,0
"55028","ENSG00000273978.1",0,0,0,0,1,0,0
"55029","ENSG00000273979.1",1,0,1,1,1,2,0
"55030","ENSG00000273980.1",1,10,0,0,5,0,0
"55031","ENSG00000273981.1",0,0,0,0,0,0,0
"55032","ENSG00000273982.1",0,0,0,0,0,0,0
"55033","ENSG00000273983.1",208,104,0,1,800,39,228
"55034","ENSG00000273985.1",0,0,0,0,0,0,0
"55035","ENSG00000273986.1",0,0,0,0,0,0,0
"55036","ENSG00000273987.1",43,10,21,24,42,25,19
"55037","ENSG00000273988.1",0,0,0,0,0,0,0
"55038","ENSG00000273989.1",82,61,48,77,41,17,26
"55039","ENSG00000273994.1",0,0,0,0,0,0,0
"55040","ENSG00000273996.1",0,0,0,0,0,0,0
"55041","ENSG00000273997.1",12,6,11,41,2,5,0
"55042","ENSG00000273998.1",0,0,0,0,0,0,1
"55043","ENSG00000273999.1",0,0,0,0,0,0,0
"55044","ENSG00000274001.1",10,28,15,14,9,11,20
"55045","ENSG00000274002.1",0,0,0,0,0,0,0
"55046","ENSG00000274004.1",0,0,0,0,0,0,0
"55047","ENSG00000274006.1",0,0,0,0,0,0,0
"55048","ENSG00000274008.1",10,248,22,10,19,11,14
"55049","ENSG00000274010.1",19,2,6,12,5,11,26
"55050","ENSG00000274011.1",0,0,0,0,0,0,0
"55051","ENSG00000274012.1",780999.35,1348131.84,1023949.63,809817.3,1096643.95,1354879.85,2227253.06
"55052","ENSG00000274013.1",0,0,0,0,0,0,0
"55053","ENSG00000274014.1",0,0,0,0,0,0,0
"55054","ENSG00000274015.1",8,28,14,10,21,12,35
"55055","ENSG00000274017.1",0,0,0,0,0,0,0
"55056","ENSG00000274019.1",0,0,0,0,0,0,0
"55057","ENSG00000274020.1",755.69,359.31,980.06,788.43,481.67,123.14,933.07
"55058","ENSG00000274021.1",3,178,18,9,34,16,80
"55059","ENSG00000274022.1",0,0,0,0,0,0,0
"55060","ENSG00000274023.1",13,3,6,8,11,3,0
"55061","ENSG00000274024.1",0,0,0,0,0,0,0
"55062","ENSG00000274025.1",0,0,0,0,0,0,0
"55063","ENSG00000274026.1",20,41,3,2,2,1,56
"55064","ENSG00000274027.1",0,0,0,0,0,0,0
"55065","ENSG00000274028.1",0,0,0,0,0,0,0
"55066","ENSG00000274029.1",4,17,10,11,12,8,13
"55067","ENSG00000274031.1",1,3,1,6,0,0,3
"55068","ENSG00000274033.1",0,0,0,0,0,0,0
"55069","ENSG00000274034.1",0,0,0,0,0,0,0
"55070","ENSG00000274037.1",0,0,0,0,0,0,0
"55071","ENSG00000274038.1",31,23,24,32,12,6,3
"55072","ENSG00000274043.1",0,0,0,0,0,0,0
"55073","ENSG00000274044.3",0,0,0,0,0,0,0
"55074","ENSG00000274046.1",0,0,0,0,0,0,0
"55075","ENSG00000274049.3",121.26,187.45,171.77,65.25,112.28,392.48,149.35
"55076","ENSG00000274051.1",0,3,1,0,0,3.16,3
"55077","ENSG00000274052.1",0,0,0,0,0,0,0
"55078","ENSG00000274054.1",0,0,0,0,0,0,0
"55079","ENSG00000274055.1",0.84,0,3.85,0,0.73,0,0
"55080","ENSG00000274056.1",0,0,0,0,0,0,0
"55081","ENSG00000274057.1",0,0,0,0,0,0,0
"55082","ENSG00000274059.1",0,0,0,0,0,0,0
"55083","ENSG00000274060.1",0,0,0,0,0,0,0
"55084","ENSG00000274061.1",0,0,0,0,0,0,0
